"Scheduled Tasks","Geplante Aufgaben"
"Scheduled Task Status","Status der geplanten Aufgabe"
"Name","Name"
"Command","Befehl"
"Schedule","Zeitplan"
"Status","Status"
"Started","Gestartet"
"Finished","Beendet"
"Duration","Dauer"
"Error","Fehler"
"Actions","Aktionen"
"Priority","Priorität"
"View","Ansehen"
"Enable","Aktivieren"
"Disable","Deaktivieren"
"Back to Scheduled Tasks","Zurück zu geplanten Aufgaben"
"No status has been recorded yet for the scheduled task ""%name%"".","Für die geplante Aufgabe ""%name%"" wurde noch kein Status erfasst."
"Scheduled job ""%name%"" has been enabled.","Geplante Aufgabe ""%name%"" wurde aktiviert."
"Scheduled job ""%name%"" has been disabled.","Geplante Aufgabe ""%name%"" wurde deaktiviert."
"CSRF token is not valid. Please try again.","CSRF-Token ist ungültig. Bitte versuchen Sie es erneut."
"Run now","Jetzt ausführen"
"Scheduled job ""%name%"" has been queued to run now.","Geplante Aufgabe ""%name%"" wurde zur sofortigen Ausführung eingereiht."
"Scheduled job ""%name%"" is disabled and cannot be run.","Geplante Aufgabe ""%name%"" ist deaktiviert und kann nicht ausgeführt werden."
"The scheduler storage is currently unavailable, so the action for ""%name%"" was not applied. Please try again later.","Der Scheduler-Speicher ist derzeit nicht verfügbar, daher wurde die Aktion für ""%name%"" nicht angewendet. Bitte versuchen Sie es später erneut."
